split,city,sample_id,view_index,condition,level,snr_db,objects
train,aachen,aachen_000021_000019,1,GaussNoise,35.0,6.882492461601935,32
train,aachen,aachen_000021_000019,2,GaussNoise,50.0,4.245798889501618,32
train,aachen,aachen_000021_000019,3,LowLight,0.8,13.773926697025235,32
train,aachen,aachen_000022_000019,0,Clean,,,19
train,aachen,aachen_000022_000019,1,LowLight,0.6,7.850859058078355,19
train,aachen,aachen_000022_000019,2,LowLight,0.4,4.364234767618289,19
train,aachen,aachen_000022_000019,3,LowLight,0.25,2.44472199973411,19
train,aachen,aachen_000023_000019,0,Clean,,,9
train,aachen,aachen_000023_000019,1,LowLight,0.1,0.8647356490579243,9
train,aachen,aachen_000023_000019,2,MotionBlur,3.0,34.64155533058821,9
train,aachen,aachen_000023_000019,3,MotionBlur,5.0,28.159144441015552,9
train,aachen,aachen_000024_000019,0,Clean,,,6
train,aachen,aachen_000024_000019,1,MotionBlur,9.0,26.09675242225222,6
train,aachen,aachen_000024_000019,2,MotionBlur,15.0,22.501888775642666,6
train,aachen,aachen_000024_000019,3,MotionBlur,25.0,20.05409114766504,6
train,aachen,aachen_000025_000019,0,Clean,,,15
train,aachen,aachen_000025_000019,1,SevereJPEG,80.0,31.283208323988163,15
train,aachen,aachen_000025_000019,2,SevereJPEG,60.0,29.384292377005522,15
train,aachen,aachen_000025_000019,3,SevereJPEG,40.0,28.08183154832635,15
train,aachen,aachen_000026_000019,0,Clean,,,28
train,aachen,aachen_000026_000019,1,SevereJPEG,20.0,22.943984901723574,28
train,aachen,aachen_000026_000019,2,SevereJPEG,5.0,16.112482034149313,28
train,aachen,aachen_000026_000019,3,GaussNoise,5.0,22.587261015624534,28
train,aachen,aachen_000027_000019,0,Clean,,,28
train,aachen,aachen_000027_000019,1,GaussNoise,10.0,18.02429844961591,28
train,aachen,aachen_000027_000019,2,GaussNoise,20.0,12.178361088909925,28
train,aachen,aachen_000027_000019,3,GaussNoise,35.0,7.75825473751023,28
train,aachen,aachen_000028_000019,0,Clean,,,12
train,aachen,aachen_000028_000019,1,GaussNoise,50.0,3.0882290164785857,12
train,aachen,aachen_000028_000019,2,LowLight,0.8,13.727703153877313,12
train,aachen,aachen_000028_000019,3,LowLight,0.6,7.833483477351512,12
train,aachen,aachen_000029_000019,0,Clean,,,32
train,aachen,aachen_000029_000019,1,LowLight,0.4,4.3876293292436035,32
train,aachen,aachen_000029_000019,2,LowLight,0.25,2.4579184358909947,32
train,aachen,aachen_000029_000019,3,LowLight,0.1,0.8759203992504541,32
train,aachen,aachen_000030_000019,0,Clean,,,13
train,aachen,aachen_000030_000019,1,MotionBlur,3.0,35.27815776491092,13
train,aachen,aachen_000030_000019,2,MotionBlur,5.0,28.543016818797998,13
train,aachen,aachen_000030_000019,3,MotionBlur,9.0,25.468986611519085,13
train,aachen,aachen_000031_000019,0,Clean,,,16
train,aachen,aachen_000031_000019,1,MotionBlur,15.0,22.609914458618565,16
train,aachen,aachen_000031_000019,2,MotionBlur,25.0,20.116107138790966,16
train,aachen,aachen_000031_000019,3,SevereJPEG,80.0,30.832709593951037,16
train,aachen,aachen_000032_000019,0,Clean,,,11
train,aachen,aachen_000032_000019,1,SevereJPEG,60.0,28.70748331839649,11
train,aachen,aachen_000032_000019,2,SevereJPEG,40.0,27.44595464868575,11
train,aachen,aachen_000032_000019,3,SevereJPEG,20.0,24.333307035807547,11
train,aachen,aachen_000033_000019,0,Clean,,,25
train,aachen,aachen_000033_000019,1,SevereJPEG,5.0,17.785941711689496,25
train,aachen,aachen_000033_000019,2,GaussNoise,5.0,23.984935543442987,25
train,aachen,aachen_000033_000019,3,GaussNoise,10.0,18.038644721509257,25
train,aachen,aachen_000034_000019,0,Clean,,,29
train,aachen,aachen_000034_000019,1,GaussNoise,20.0,11.413006730454242,29
train,aachen,aachen_000034_000019,2,GaussNoise,35.0,7.012086235832848,29
train,aachen,aachen_000034_000019,3,GaussNoise,50.0,4.403188509551316,29
train,aachen,aachen_000035_000019,0,Clean,,,7
train,aachen,aachen_000035_000019,1,LowLight,0.8,13.727730252595304,7
train,aachen,aachen_000035_000019,2,LowLight,0.6,7.83311420554376,7
train,aachen,aachen_000035_000019,3,LowLight,0.4,4.352594360896627,7
train,aachen,aachen_000036_000019,0,Clean,,,8
train,aachen,aachen_000036_000019,1,LowLight,0.25,2.4449532638990874,8
train,aachen,aachen_000036_000019,2,LowLight,0.1,0.8618086589889129,8
train,aachen,aachen_000036_000019,3,MotionBlur,3.0,34.470521802029104,8
train,aachen,aachen_000037_000019,0,Clean,,,8
train,aachen,aachen_000037_000019,1,MotionBlur,5.0,28.349319021035125,8
train,aachen,aachen_000037_000019,2,MotionBlur,9.0,23.963505757887674,8
train,aachen,aachen_000037_000019,3,MotionBlur,15.0,20.38588330115352,8
train,aachen,aachen_000038_000019,0,Clean,,,11
train,aachen,aachen_000038_000019,1,MotionBlur,25.0,18.728732999802972,11
train,aachen,aachen_000038_000019,2,SevereJPEG,80.0,31.218859873436713,11
train,aachen,aachen_000038_000019,3,SevereJPEG,60.0,29.112331395082165,11
train,aachen,aachen_000039_000019,0,Clean,,,7
train,aachen,aachen_000039_000019,1,SevereJPEG,40.0,28.11520917364004,7
train,aachen,aachen_000039_000019,2,SevereJPEG,20.0,25.074699445157343,7
train,aachen,aachen_000039_000019,3,SevereJPEG,5.0,16.79937681195471,7
train,aachen,aachen_000040_000019,0,Clean,,,21
train,aachen,aachen_000040_000019,1,GaussNoise,5.0,22.440202558498274,21
train,aachen,aachen_000040_000019,2,GaussNoise,10.0,16.490959665965214,21
train,aachen,aachen_000040_000019,3,GaussNoise,20.0,10.690914496171121,21
train,aachen,aachen_000041_000019,0,Clean,,,21
train,aachen,aachen_000041_000019,1,GaussNoise,35.0,5.743502299070105,21
train,aachen,aachen_000041_000019,2,GaussNoise,50.0,3.137009007385678,21
train,aachen,aachen_000041_000019,3,LowLight,0.8,13.73945949818112,21
train,aachen,aachen_000042_000019,0,Clean,,,28
train,aachen,aachen_000042_000019,1,LowLight,0.6,7.847678489261684,28
train,aachen,aachen_000042_000019,2,LowLight,0.4,4.362507976950981,28
train,aachen,aachen_000042_000019,3,LowLight,0.25,2.4408299853265305,28
train,aachen,aachen_000043_000019,0,Clean,,,14
train,aachen,aachen_000043_000019,1,LowLight,0.1,0.8622119922698911,14
train,aachen,aachen_000043_000019,2,MotionBlur,3.0,33.991265264754254,14
train,aachen,aachen_000043_000019,3,MotionBlur,5.0,27.25069916784792,14
train,aachen,aachen_000044_000019,0,Clean,,,11
train,aachen,aachen_000044_000019,1,MotionBlur,9.0,24.151478607940785,11
train,aachen,aachen_000044_000019,2,MotionBlur,15.0,21.14415285410493,11
train,aachen,aachen_000044_000019,3,MotionBlur,25.0,18.97444136332052,11
train,aachen,aachen_000045_000019,0,Clean,,,14
train,aachen,aachen_000045_000019,1,SevereJPEG,80.0,28.501593548969282,14
train,aachen,aachen_000045_000019,2,SevereJPEG,60.0,26.80350517708763,14
train,aachen,aachen_000045_000019,3,SevereJPEG,40.0,25.69687969963422,14
train,aachen,aachen_000046_000019,0,Clean,,,21
train,aachen,aachen_000046_000019,1,SevereJPEG,20.0,24.076059214867204,21
train,aachen,aachen_000046_000019,2,SevereJPEG,5.0,16.766060671094948,21
train,aachen,aachen_000046_000019,3,GaussNoise,5.0,22.55393536353929,21
train,aachen,aachen_000047_000019,0,Clean,,,26
train,aachen,aachen_000047_000019,1,GaussNoise,10.0,16.544854443723406,26
train,aachen,aachen_000047_000019,2,GaussNoise,20.0,10.697170048352746,26
train,aachen,aachen_000047_000019,3,GaussNoise,35.0,6.231331824654297,26
train,aachen,aachen_000048_000019,0,Clean,,,34
train,aachen,aachen_000048_000019,1,GaussNoise,50.0,4.4518254808957884,34
train,aachen,aachen_000048_000019,2,LowLight,0.8,13.78721867117788,34
train,aachen,aachen_000048_000019,3,LowLight,0.6,7.8626906216251635,34
train,aachen,aachen_000049_000019,0,Clean,,,25
train,aachen,aachen_000049_000019,1,LowLight,0.4,4.373376603107541,25
train,aachen,aachen_000049_000019,2,LowLight,0.25,2.4451038509552574,25
train,aachen,aachen_000049_000019,3,LowLight,0.1,0.8648682223094373,25
train,aachen,aachen_000050_000019,0,Clean,,,26
train,aachen,aachen_000050_000019,1,MotionBlur,3.0,33.175234975597604,26
train,aachen,aachen_000050_000019,2,MotionBlur,5.0,26.66856165563879,26
train,aachen,aachen_000050_000019,3,MotionBlur,9.0,23.021846673573634,26
train,aachen,aachen_000051_000019,0,Clean,,,10
train,aachen,aachen_000051_000019,1,MotionBlur,15.0,23.591737145886004,10
train,aachen,aachen_000051_000019,2,MotionBlur,25.0,20.717664546277064,10
train,aachen,aachen_000051_000019,3,SevereJPEG,80.0,31.967031789512493,10
train,aachen,aachen_000052_000019,0,Clean,,,21
train,aachen,aachen_000052_000019,1,SevereJPEG,60.0,31.157165916065793,21
train,aachen,aachen_000052_000019,2,SevereJPEG,40.0,29.949105164080898,21
train,aachen,aachen_000052_000019,3,SevereJPEG,20.0,26.937847759690076,21
train,aachen,aachen_000053_000019,0,Clean,,,20
train,aachen,aachen_000053_000019,1,SevereJPEG,5.0,17.685132642977752,20
train,aachen,aachen_000053_000019,2,GaussNoise,5.0,23.63868144879836,20
train,aachen,aachen_000053_000019,3,GaussNoise,10.0,17.698521833413288,20
train,aachen,aachen_000054_000019,0,Clean,,,16
train,aachen,aachen_000054_000019,1,GaussNoise,20.0,11.999802207812742,16
train,aachen,aachen_000054_000019,2,GaussNoise,35.0,7.517277313921166,16
train,aachen,aachen_000054_000019,3,GaussNoise,50.0,4.842664344652195,16
train,aachen,aachen_000055_000019,0,Clean,,,6
train,aachen,aachen_000055_000019,1,LowLight,0.8,13.820170598014322,6
train,aachen,aachen_000055_000019,2,LowLight,0.6,7.879602669643887,6
train,aachen,aachen_000055_000019,3,LowLight,0.4,4.384064472800259,6
train,aachen,aachen_000056_000019,0,Clean,,,9
train,aachen,aachen_000056_000019,1,LowLight,0.25,2.452706305898059,9
train,aachen,aachen_000056_000019,2,LowLight,0.1,0.8689643366845352,9
train,aachen,aachen_000056_000019,3,MotionBlur,3.0,38.29517299018824,9
train,aachen,aachen_000057_000019,0,Clean,,,12
train,aachen,aachen_000057_000019,1,MotionBlur,5.0,24.573813780160755,12
train,aachen,aachen_000057_000019,2,MotionBlur,9.0,21.297990907869064,12
train,aachen,aachen_000057_000019,3,MotionBlur,15.0,18.352098108684977,12
train,aachen,aachen_000058_000019,0,Clean,,,20
train,aachen,aachen_000058_000019,1,MotionBlur,25.0,20.08135870224997,20
train,aachen,aachen_000058_000019,2,SevereJPEG,80.0,31.3429209101213,20
train,aachen,aachen_000058_000019,3,SevereJPEG,60.0,29.4909820250785,20
train,aachen,aachen_000059_000019,0,Clean,,,26
train,aachen,aachen_000059_000019,1,SevereJPEG,40.0,28.73667710303165,26
train,aachen,aachen_000059_000019,2,SevereJPEG,20.0,25.473078465391957,26
train,aachen,aachen_000059_000019,3,SevereJPEG,5.0,17.24942668238634,26
train,aachen,aachen_000060_000019,0,Clean,,,27
train,aachen,aachen_000060_000019,1,GaussNoise,5.0,22.368586236787706,27
train,aachen,aachen_000060_000019,2,GaussNoise,10.0,16.403878986825905,27
train,aachen,aachen_000060_000019,3,GaussNoise,20.0,10.53422772070989,27
train,aachen,aachen_000061_000019,0,Clean,,,25
train,aachen,aachen_000061_000019,1,GaussNoise,35.0,7.285040146827462,25
train,aachen,aachen_000061_000019,2,GaussNoise,50.0,4.64153440109141,25
train,aachen,aachen_000061_000019,3,LowLight,0.8,13.783530091538882,25
train,aachen,aachen_000062_000019,0,Clean,,,21
train,aachen,aachen_000062_000019,1,LowLight,0.6,7.859398323730384,21
train,aachen,aachen_000062_000019,2,LowLight,0.4,4.37031260010896,21
train,aachen,aachen_000062_000019,3,LowLight,0.25,2.448697583710052,21
train,aachen,aachen_000063_000019,0,Clean,,,12
train,aachen,aachen_000063_000019,1,LowLight,0.1,0.8643115402019518,12
train,aachen,aachen_000063_000019,2,MotionBlur,3.0,34.711395894516414,12
train,aachen,aachen_000063_000019,3,MotionBlur,5.0,28.384861223767825,12
train,aachen,aachen_000064_000019,0,Clean,,,26
train,aachen,aachen_000064_000019,1,MotionBlur,9.0,24.632273170190224,26
train,aachen,aachen_000064_000019,2,MotionBlur,15.0,21.119726518135664,26
train,aachen,aachen_000064_000019,3,MotionBlur,25.0,18.51211329547762,26
train,aachen,aachen_000065_000019,0,Clean,,,27
train,aachen,aachen_000065_000019,1,SevereJPEG,80.0,31.179371369749923,27
train,aachen,aachen_000065_000019,2,SevereJPEG,60.0,29.309344051589786,27
train,aachen,aachen_000065_000019,3,SevereJPEG,40.0,28.03155050898919,27
train,aachen,aachen_000066_000019,0,Clean,,,37
train,aachen,aachen_000066_000019,1,SevereJPEG,20.0,24.978544152640442,37
train,aachen,aachen_000066_000019,2,SevereJPEG,5.0,17.24216174935542,37
train,aachen,aachen_000066_000019,3,GaussNoise,5.0,23.04799929558818,37
train,aachen,aachen_000067_000019,0,Clean,,,34
train,aachen,aachen_000067_000019,1,GaussNoise,10.0,17.204835592154694,34
train,aachen,aachen_000067_000019,2,GaussNoise,20.0,11.323038076936573,34
train,aachen,aachen_000067_000019,3,GaussNoise,35.0,6.855350035367679,34
train,aachen,aachen_000068_000019,0,Clean,,,10
train,aachen,aachen_000068_000019,1,GaussNoise,50.0,3.979722109967105,10
train,aachen,aachen_000068_000019,2,LowLight,0.8,13.76797128385338,10
train,aachen,aachen_000068_000019,3,LowLight,0.6,7.854222436566891,10
train,aachen,aachen_000069_000019,0,Clean,,,15
train,aachen,aachen_000069_000019,1,LowLight,0.4,4.352547141142609,15
train,aachen,aachen_000069_000019,2,LowLight,0.25,2.4351573170755265,15
train,aachen,aachen_000069_000019,3,LowLight,0.1,0.8510123417479745,15
train,aachen,aachen_000070_000019,0,Clean,,,27
train,aachen,aachen_000070_000019,1,MotionBlur,3.0,36.399474764911886,27
train,aachen,aachen_000070_000019,2,MotionBlur,5.0,29.697734064877018,27
train,aachen,aachen_000070_000019,3,MotionBlur,9.0,26.070811086480465,27
train,aachen,aachen_000071_000019,0,Clean,,,38
train,aachen,aachen_000071_000019,1,MotionBlur,15.0,22.23385298027575,38
train,aachen,aachen_000071_000019,2,MotionBlur,25.0,19.816434998345834,38
train,aachen,aachen_000071_000019,3,SevereJPEG,80.0,31.211300655170156,38
train,aachen,aachen_000072_000019,0,Clean,,,13
train,aachen,aachen_000072_000019,1,SevereJPEG,60.0,29.949862303061323,13
train,aachen,aachen_000072_000019,2,SevereJPEG,40.0,28.67858644875305,13
train,aachen,aachen_000072_000019,3,SevereJPEG,20.0,25.301564020976812,13
train,aachen,aachen_000073_000019,0,Clean,,,14
train,aachen,aachen_000073_000019,1,SevereJPEG,5.0,17.795979216380523,14
train,aachen,aachen_000073_000019,2,GaussNoise,5.0,24.07637373885069,14
train,aachen,aachen_000073_000019,3,GaussNoise,10.0,18.114377933615764,14
train,aachen,aachen_000074_000019,0,Clean,,,14
train,aachen,aachen_000074_000019,1,GaussNoise,20.0,11.055131472762787,14
train,aachen,aachen_000074_000019,2,GaussNoise,35.0,6.5938552728094475,14
train,aachen,aachen_000074_000019,3,GaussNoise,50.0,3.9026793097863424,14
train,aachen,aachen_000075_000019,0,Clean,,,13
train,aachen,aachen_000075_000019,1,LowLight,0.8,13.834335216881206,13
train,aachen,aachen_000075_000019,2,LowLight,0.6,7.886472301204725,13
train,aachen,aachen_000075_000019,3,LowLight,0.4,4.388703987559349,13
train,aachen,aachen_000076_000019,0,Clean,,,16
train,aachen,aachen_000076_000019,1,LowLight,0.25,2.4492619887522586,16
train,aachen,aachen_000076_000019,2,LowLight,0.1,0.8650502303180739,16
train,aachen,aachen_000076_000019,3,MotionBlur,3.0,35.94819815477916,16
train,aachen,aachen_000077_000019,0,Clean,,,17
train,aachen,aachen_000077_000019,1,MotionBlur,5.0,29.404429770204096,17
train,aachen,aachen_000077_000019,2,MotionBlur,9.0,24.848224881739263,17
train,aachen,aachen_000077_000019,3,MotionBlur,15.0,21.459744554975394,17
train,aachen,aachen_000078_000019,0,Clean,,,12
train,aachen,aachen_000078_000019,1,MotionBlur,25.0,19.182001137893394,12
train,aachen,aachen_000078_000019,2,SevereJPEG,80.0,32.21898022682648,12
train,aachen,aachen_000078_000019,3,SevereJPEG,60.0,30.292542244183185,12
train,aachen,aachen_000079_000019,0,Clean,,,15
train,aachen,aachen_000079_000019,1,SevereJPEG,40.0,29.20543508617884,15
train,aachen,aachen_000079_000019,2,SevereJPEG,20.0,25.822182888922356,15
train,aachen,aachen_000079_000019,3,SevereJPEG,5.0,18.219159622706837,15
train,aachen,aachen_000080_000019,0,Clean,,,22
train,aachen,aachen_000080_000019,1,GaussNoise,5.0,24.15589573742753,22
train,aachen,aachen_000080_000019,2,GaussNoise,10.0,18.18994535056393,22
train,aachen,aachen_000080_000019,3,GaussNoise,20.0,12.297827451047729,22
train,aachen,aachen_000081_000019,0,Clean,,,21
train,aachen,aachen_000081_000019,1,GaussNoise,35.0,5.459779964418753,21
train,aachen,aachen_000081_000019,2,GaussNoise,50.0,2.846702074225301,21
train,aachen,aachen_000081_000019,3,LowLight,0.8,13.717359674380358,21
train,aachen,aachen_000082_000019,0,Clean,,,13
train,aachen,aachen_000082_000019,1,LowLight,0.6,7.815955681647027,13
train,aachen,aachen_000082_000019,2,LowLight,0.4,4.341104409413028,13
train,aachen,aachen_000082_000019,3,LowLight,0.25,2.427158142985331,13
train,aachen,aachen_000083_000019,0,Clean,,,21
train,aachen,aachen_000083_000019,1,LowLight,0.1,0.8573287216179477,21
train,aachen,aachen_000083_000019,2,MotionBlur,3.0,30.78400564549653,21
train,aachen,aachen_000083_000019,3,MotionBlur,5.0,24.45315819215373,21
train,aachen,aachen_000084_000019,0,Clean,,,45
train,aachen,aachen_000084_000019,1,MotionBlur,9.0,21.43554129470996,45
train,aachen,aachen_000084_000019,2,MotionBlur,15.0,18.16075824392964,45
train,aachen,aachen_000084_000019,3,MotionBlur,25.0,15.792755551177295,45
train,aachen,aachen_000085_000019,0,Clean,,,31
train,aachen,aachen_000085_000019,1,SevereJPEG,80.0,30.841486513778925,31
train,aachen,aachen_000085_000019,2,SevereJPEG,60.0,28.926403599571348,31
train,aachen,aachen_000085_000019,3,SevereJPEG,40.0,27.640640573107966,31
train,aachen,aachen_000086_000019,0,Clean,,,21
train,aachen,aachen_000086_000019,1,SevereJPEG,20.0,24.64774801087758,21
train,aachen,aachen_000086_000019,2,SevereJPEG,5.0,17.044421760927627,21
train,aachen,aachen_000086_000019,3,GaussNoise,5.0,22.89851193610793,21
train,aachen,aachen_000087_000019,0,Clean,,,36
train,aachen,aachen_000087_000019,1,GaussNoise,10.0,17.25906893272842,36
train,aachen,aachen_000087_000019,2,GaussNoise,20.0,11.419633218839234,36
train,aachen,aachen_000087_000019,3,GaussNoise,35.0,6.989443371836941,36
train,aachen,aachen_000088_000019,0,Clean,,,14
train,aachen,aachen_000088_000019,1,GaussNoise,50.0,3.2229585597465658,14
train,aachen,aachen_000088_000019,2,LowLight,0.8,13.735438669087747,14
train,aachen,aachen_000088_000019,3,LowLight,0.6,7.837040334218159,14
train,aachen,aachen_000089_000019,0,Clean,,,37
train,aachen,aachen_000089_000019,1,LowLight,0.4,4.355388282839003,37
train,aachen,aachen_000089_000019,2,LowLight,0.25,2.4362719866134013,37
train,aachen,aachen_000089_000019,3,LowLight,0.1,0.8531839314249241,37
train,aachen,aachen_000090_000019,0,Clean,,,27
train,aachen,aachen_000090_000019,1,MotionBlur,3.0,33.41074245086371,27
train,aachen,aachen_000090_000019,2,MotionBlur,5.0,26.731505490884047,27
train,aachen,aachen_000090_000019,3,MotionBlur,9.0,23.063281945078252,27
train,aachen,aachen_000091_000019,0,Clean,,,14
train,aachen,aachen_000091_000019,1,MotionBlur,15.0,20.883926553331257,14
train,aachen,aachen_000091_000019,2,MotionBlur,25.0,18.425877238943773,14
train,aachen,aachen_000091_000019,3,SevereJPEG,80.0,30.746375770284878,14
train,aachen,aachen_000092_000019,0,Clean,,,30
train,aachen,aachen_000092_000019,1,SevereJPEG,60.0,27.90498590036465,30
train,aachen,aachen_000092_000019,2,SevereJPEG,40.0,26.736661013749746,30
train,aachen,aachen_000092_000019,3,SevereJPEG,20.0,23.796182771384238,30
train,aachen,aachen_000093_000019,0,Clean,,,8
train,aachen,aachen_000093_000019,1,SevereJPEG,5.0,15.07454103249312,8
train,aachen,aachen_000093_000019,2,GaussNoise,5.0,20.842036544006227,8
train,aachen,aachen_000093_000019,3,GaussNoise,10.0,14.893436689285494,8
train,aachen,aachen_000094_000019,0,Clean,,,10
train,aachen,aachen_000094_000019,1,GaussNoise,20.0,11.164070655457117,10
train,aachen,aachen_000094_000019,2,GaussNoise,35.0,6.772812284597607,10
train,aachen,aachen_000094_000019,3,GaussNoise,50.0,4.1335529690398545,10
train,aachen,aachen_000095_000019,0,Clean,,,15
train,aachen,aachen_000095_000019,1,LowLight,0.8,13.73915309864917,15
train,aachen,aachen_000095_000019,2,LowLight,0.6,7.838582124170403,15
train,aachen,aachen_000095_000019,3,LowLight,0.4,4.356605252996617,15
train,aachen,aachen_000096_000019,0,Clean,,,5
train,aachen,aachen_000096_000019,1,LowLight,0.25,2.445514517021981,5
train,aachen,aachen_000096_000019,2,LowLight,0.1,0.8635904110072177,5
train,aachen,aachen_000096_000019,3,MotionBlur,3.0,31.355381803365727,5
train,aachen,aachen_000097_000019,0,Clean,,,10
train,aachen,aachen_000097_000019,1,MotionBlur,5.0,29.492792201901892,10
train,aachen,aachen_000097_000019,2,MotionBlur,9.0,25.54224610696874,10
